Month, - Air, - Land, - Sea, -  Total Visitor Arrivals
2024-11,280402.0,208687.0,31479.0,520568.0
2024-03,196297.0,77090.0,55619.0,329006.0
2024-01,289633.0,327509.0,85666.0,702808.0
2023-12,270745.0,155378.0,92733.0,518856.0
2023-09,169986.0,75631.0,1500.0,247117.0
2023-08,162123.0,99775.0,1621.0,263519.0
2023-05,187767.0,95837.0,1639.0,285243.0
2023-04,170470.0,139153.0,14751.0,324374.0
2023-02,173184.0,132095.0,83943.0,389222.0
2023-01,150100.0,122495.0,67810.0,340405.0
2022-10,126388.0,51255.0,1926.0,179569.0
2022-05,74744.0,81246.0,10100.0,166090.0
2021-10,63117.0,20732.0,912.0,84761.0
2021-06,18647.0,4797.0,849.0,24293.0
2021-02,12984.0,463.0,317.0,13764.0
2020-08,422940.0,0.0,130727.0,553667.0
2020-04,417227.0,0.0,129948.0,547175.0
2020-03,416741.0,0.0,129868.0,546609.0
2020-02,369222.0,0.0,129306.0,498528.0
2019-12,1939709.0,0.0,196795.0,2136504.0
2019-10,1548047.0,0.0,117269.0,1665316.0
2019-07,1089403.0,0.0,108952.0,1198355.0
2019-02,316881.0,0.0,59225.0,376106.0
2018-11,1552072.0,0.0,73685.0,1625757.0
2018-10,1417854.0,0.0,58873.0,1476727.0
2018-09,1271476.0,0.0,56719.0,1328195.0
2018-07,1027599.0,0.0,54813.0,1082412.0
2018-05,776025.0,0.0,52537.0,828562.0
2018-04,645783.0,0.0,51415.0,697198.0
2024-10,268998.0,88400.0,1915.0,359313.0
2024-08,210617.0,115832.0,1610.0,328059.0
2024-06,174432.0,140450.0,1464.0,316346.0
2024-05,200459.0,111368.0,1748.0,313575.0
2024-04,210764.0,165473.0,6248.0,382485.0
2024-02,284771.0,231660.0,79503.0,595934.0
2023-10,215007.0,67414.0,6410.0,288831.0
2023-06,168463.0,112206.0,1325.0,281994.0
2022-12,373699.0,232044.0,7869.0,613612.0
2022-11,503827.0,81975.0,5936.0,591738.0
2022-08,74697.0,72236.0,1107.0,148040.0
2022-07,67001.0,82200.0,1255.0,150456.0
2022-06,88054.0,48021.0,9566.0,145641.0
2022-04,62470.0,27155.0,8229.0,97854.0
2022-02,46718.0,13420.0,16745.0,76883.0
2021-11,80446.0,30021.0,1117.0,111584.0
2021-09,50143.0,15909.0,765.0,66817.0
2021-08,47925.0,13406.0,783.0,62114.0
2021-04,11645.0,1141.0,526.0,13312.0
2020-12,449653.0,0.0,132006.0,581659.0
2020-10,434168.0,0.0,131300.0,565468.0
2020-09,427206.0,0.0,130993.0,558199.0
2020-07,420191.0,0.0,130457.0,550648.0
2019-11,1716709.0,0.0,144711.0,1861420.0
2019-08,1235888.0,0.0,110515.0,1346403.0
2019-06,945640.0,0.0,107375.0,1053015.0
2019-05,816122.0,0.0,106010.0,922132.0
2019-04,685388.0,0.0,103639.0,789027.0
2018-12,1715513.0,0.0,103831.0,1819344.0
2018-06,890975.0,0.0,53714.0,944689.0
2018-03,490093.0,0.0,45209.0,535302.0
2024-09,202533.0,110304.0,1760.0,314597.0
2024-07,188570.0,126968.0,1921.0,317459.0
2023-11,211609.0,167884.0,13748.0,393241.0
2023-07,167576.0,118775.0,1612.0,287963.0
2023-03,204382.0,154330.0,74402.0,433114.0
2022-09,91955.0,57735.0,1307.0,150997.0
2022-03,90677.0,43610.0,18485.0,152772.0
2022-01,56904.0,13774.0,15458.0,86136.0
2021-12,87702.0,33089.0,26143.0,146934.0
2021-07,28849.0,8407.0,1033.0,38289.0
2021-05,12707.0,3787.0,646.0,17140.0
2021-03,15594.0,1777.0,411.0,17782.0
2021-01,12700.0,994.0,301.0,13995.0
2020-11,441516.0,0.0,131619.0,573135.0
2020-06,418525.0,0.0,130287.0,548812.0
2020-05,417470.0,0.0,129990.0,547460.0
2020-01,198241.0,0.0,79151.0,277392.0
2019-09,1380485.0,0.0,112168.0,1492653.0
2019-03,495011.0,0.0,93061.0,588072.0
2019-01,163026.0,0.0,33568.0,196594.0
2018-08,1153300.0,0.0,55718.0,1209018.0
2018-02,316957.0,0.0,30667.0,347624.0
2018-01,168128.0,21248.0,0.0,189376.0
